part,topic,question,cue_card,source,band9_answer,answer_variant
1,Flowers and plants,Do you have a favourite flower or plant?,,ielts_questions,"Yes—probably the **jasmine plant**, because the scent is subtle but it instantly changes the mood of a room. Also, it’s quite low-maintenance, so even if I’m busy, it still survives.",A
1,Flowers and plants,Do you have a favourite flower or plant?,,ielts_questions,"Yes—probably the **jasmine plant**, because the scent is subtle but it instantly changes the mood of a room. Also, it’s quite low-maintenance, so even if I am busy, it still survives. So overall, it feels like a good fit for me.",B
1,Flowers and plants,Do you have a favourite flower or plant?,,ielts_questions,"Yes—probably the **jasmine plant**, because the scent is subtle but it instantly changes the mood of a room. Also, it’s quite low-maintenance, so even if I’m busy, it still survives. In short, it’s something I genuinely enjoy.",C
1,Flowers and plants,What kinds of flowers and plants grow near your home?,,ielts_questions,"Mostly **hardy, practical plants**—things like neem, bougainvillea, and a few seasonal flowers. The climate is warm and sometimes unpredictable, so people tend to choose plants that don’t need constant care.",A
1,Flowers and plants,What kinds of flowers and plants grow near your home?,,ielts_questions,"To be honest, mostly **hardy, practical plants**—things like neem, bougainvillea, and a few seasonal flowers. The climate is warm and sometimes unpredictable, so people tend to choose plants that don’t need constant care. In short, it’s something I genuinely enjoy.",B
1,Flowers and plants,What kinds of flowers and plants grow near your home?,,ielts_questions,"Generally speaking, mostly **hardy, practical plants**—things like neem, bougainvillea, and a few seasonal flowers. The climate is warm and sometimes unpredictable, so people tend to choose plants that don’t need constant care. That’s why it stands out to me.",C
1,Flowers and plants,Is it important to you to have flowers and plants in your home?,,ielts_questions,"Yes, because they make the space feel **alive rather than purely functional**. Even one small pot on a desk helps me de-stress, especially after long hours of work.",A
1,Flowers and plants,Is it important to you to have flowers and plants in your home?,,ielts_questions,"Well, yes, because they make the space feel **alive rather than purely functional**. Even one small pot on a desk helps me de-stress, especially after long hours of work. So overall, it feels like a good fit for me.",B
1,Flowers and plants,Is it important to you to have flowers and plants in your home?,,ielts_questions,"Yes, mainly because they make the space feel **alive rather than purely functional**. Even one small pot on a desk helps me de-stress, especially after long hours of work. So it’s become a small habit for me.",C
1,Flowers and plants,Have you ever bought flowers for someone else?,,ielts_questions,"Yes, a couple of times—usually for a birthday or to congratulate someone. It’s a simple gesture, but it communicates warmth without needing a long speech.",A
1,Flowers and plants,Have you ever bought flowers for someone else?,,ielts_questions,"Yes, a couple of times—usually for a birthday or to congratulate someone. It is a simple gesture, but it communicates warmth without needing a long speech. In short, it’s something I genuinely enjoy.",B
1,Flowers and plants,Have you ever bought flowers for someone else?,,ielts_questions,"Yes, a couple of times—usually for a birthday or to congratulate someone. It is a simple gesture, but it communicates warmth without needing a long speech. So overall, it feels like a good fit for me.",C
2,Cue card,Describe a review you read about a product or service.,"You should say:
- what you read the review about
- what information the review gave about the product or service
- and explain what you did as a result of reading this review",ielts_questions,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable.",A
